"AUC","Master.ID","Cell.Line"
13.718,375390,"NMCG1"
14.058,375435,"NMCG1"
14.582,375447,"NMCG1"
15,375487,"NMCG1"
14.123,375496,"NMCG1"
14.108,375560,"NMCG1"
13.216,375564,"NMCG1"
15,375596,"NMCG1"
15,397964,"NMCG1"
16.905,402775,"NMCG1"
17.624,404452,"NMCG1"
11.722,404566,"NMCG1"
15,410270,"NMCG1"
17.406,410703,"NMCG1"
16.896,414479,"NMCG1"
17.216,415688,"NMCG1"
16.823,416842,"NMCG1"
16.87,417262,"NMCG1"
17.793,429535,"NMCG1"
17.378,437263,"NMCG1"
17.174,437906,"NMCG1"
15,438564,"NMCG1"
17.008,438691,"NMCG1"
15.458,438776,"NMCG1"
16.814,442141,"NMCG1"
16.524,447732,"NMCG1"
18.549,449707,"NMCG1"
18.107,452570,"NMCG1"
17.824,463198,"NMCG1"
17.534,596868,"NMCG1"
15,600054,"NMCG1"
18.335,608062,"NMCG1"
11.456,18311,"RPMI7951"
16.626,23256,"RPMI7951"
14.377,25036,"RPMI7951"
15.274,26870,"RPMI7951"
13.413,26914,"RPMI7951"
13.107,26972,"RPMI7951"
12.803,27894,"RPMI7951"
7.8159,28172,"RPMI7951"
14.924,29985,"RPMI7951"
12.942,32372,"RPMI7951"
10.938,32653,"RPMI7951"
12.349,33166,"RPMI7951"
6.2617,36599,"RPMI7951"
3.7865,37190,"RPMI7951"
12.518,39782,"RPMI7951"
11.335,44503,"RPMI7951"
14.107,44511,"RPMI7951"
11.46,46792,"RPMI7951"
11.768,48589,"RPMI7951"
16.897,50140,"RPMI7951"
13.726,50715,"RPMI7951"
13.519,50727,"RPMI7951"
16.056,50753,"RPMI7951"
11.602,52123,"RPMI7951"
13.193,52430,"RPMI7951"
13.793,52576,"RPMI7951"
12.83,58455,"RPMI7951"
13.652,345041,"RPMI7951"
11.419,348997,"RPMI7951"
11.451,375256,"RPMI7951"
8.7349,375264,"RPMI7951"
14.282,375366,"RPMI7951"
13.406,375390,"RPMI7951"
14.684,375435,"RPMI7951"
13.796,375447,"RPMI7951"
15,375487,"RPMI7951"
12.607,375496,"RPMI7951"
14.079,375560,"RPMI7951"
12.873,375564,"RPMI7951"
11.78,375594,"RPMI7951"
14.145,375596,"RPMI7951"
17.305,397964,"RPMI7951"
15,402775,"RPMI7951"
15.109,404452,"RPMI7951"
10.751,404566,"RPMI7951"
16.027,410270,"RPMI7951"
18.734,415688,"RPMI7951"
18.075,416842,"RPMI7951"
16.587,417262,"RPMI7951"
16.891,429535,"RPMI7951"
17.285,437263,"RPMI7951"
16.837,437906,"RPMI7951"
15.344,438564,"RPMI7951"
16.271,438691,"RPMI7951"
15.742,438776,"RPMI7951"
16.217,442141,"RPMI7951"
